id,subject,sender,email_text,has_link,has_attachment,urgency_flag,label
1,Monthly Report,admin@company.com,Please find attached the monthly report.,1,0,0,legitimate
2,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
3,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,1,0,legitimate
4,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,1,0,legitimate
5,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,0,0,legitimate
6,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
7,Monthly Report,admin@company.com,Please find attached the monthly report.,0,1,0,legitimate
8,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
9,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
10,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,1,0,legitimate
11,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
12,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
13,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,0,0,legitimate
14,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
15,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
16,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
17,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
18,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,1,0,legitimate
19,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,0,0,legitimate
20,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
21,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,0,0,legitimate
22,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
23,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
24,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
25,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,0,1,phishing
26,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,1,0,legitimate
